United Arab Emirates,65 [37-99]
United Kingdom of Great Britain and Northern Ireland,300 [300-310]
United Republic of Tanzania,22000 [10000-40000]
United States of America,580 [570-590]
Uruguay,73 [70-76]
Uzbekistan,1700 [1600-1800]
Vanuatu,22 [14-31]
Venezuela (Bolivarian Republic of),730 [690-780]
Viet Nam,11000 [6700-15000]
Yemen,2000 [1400-2600]
Zambia,4800 [2900-7300]
Zimbabwe,1100 [690-1700]
