Location,Period,Indicator,First Tooltip
Lesotho,2018,Number of incident tuberculosis cases,13000 [8300-18000]
Liberia,2018,Number of incident tuberculosis cases,15000 [9600-21000]
Libya,2018,Number of incident tuberculosis cases,2700 [1700-3900]
Lithuania,2018,Number of incident tuberculosis cases,1200 [1000-1400]
Luxembourg,2018,Number of incident tuberculosis cases,48 [41-56]
Madagascar,2018,Number of incident tuberculosis cases,61000 [40000-87000]
Malawi,2018,Number of incident tuberculosis cases,33000 [20000-48000]
Malaysia,2018,Number of incident tuberculosis cases,29000 [25000-33000]
Maldives,2018,Number of incident tuberculosis cases,170 [130-220]
Mali,2018,Number of incident tuberculosis cases,10000 [6700-14000]
Malta,2018,Number of incident tuberculosis cases,60 [51-69]
Marshall Islands,2018,Number of incident tuberculosis cases,250 [190-320]
Mauritania,2018,Number of incident tuberculosis cases,4100 [2700-5900]
Mauritius,2018,Number of incident tuberculosis cases,160 [130-210]
Mexico,2018,Number of incident tuberculosis cases,29000 [22000-37000]
Micronesia (Federated States of),2018,Number of incident tuberculosis cases,120 [93-150]
Monaco,2018,Number of incident tuberculosis cases,0 [0-0]
Mongolia,2018,Number of incident tuberculosis cases,14000 [7000-22000]
Montenegro,2018,Number of incident tuberculosis cases,97 [83-110]
Morocco,2018,Number of incident tuberculosis cases,36000 [30000-41000]
Mozambique,2018,Number of incident tuberculosis cases,162000 [105000-232000]
Myanmar,2018,Number of incident tuberculosis cases,181000 [119000-256000]
Namibia,2018,Number of incident tuberculosis cases,13000 [9200-17000]
Nauru,2018,Number of incident tuberculosis cases,6 [5-7]
Nepal,2018,Number of incident tuberculosis cases,42000 [37000-48000]
Netherlands,2018,Number of incident tuberculosis cases,910 [780-1100]
New Zealand,2018,Number of incident tuberculosis cases,350 [300-400]
Nicaragua,2018,Number of incident tuberculosis cases,2600 [2000-3300]
Niger,2018,Number of incident tuberculosis cases,19000 [13000-28000]
Nigeria,2018,Number of incident tuberculosis cases,429000 [280000-609000]
Niue,2018,Number of incident tuberculosis cases,1 [1-1]
Norway,2018,Number of incident tuberculosis cases,220 [190-250]
Oman,2018,Number of incident tuberculosis cases,280 [240-330]
Pakistan,2018,Number of incident tuberculosis cases,562000 [399000-754000]
Palau,2018,Number of incident tuberculosis cases,20 [17-23]
Panama,2018,Number of incident tuberculosis cases,2200 [1600-2700]
Papua New Guinea,2018,Number of incident tuberculosis cases,37000 [30000-45000]
Paraguay,2018,Number of incident tuberculosis cases,3000 [2500-3400]
Peru,2018,Number of incident tuberculosis cases,39000 [30000-50000]
Philippines,2018,Number of incident tuberculosis cases,591000 [332000-924000]
Poland,2018,Number of incident tuberculosis cases,6000 [5100-6900]
Portugal,2018,Number of incident tuberculosis cases,2400 [2100-2800]
Qatar,2018,Number of incident tuberculosis cases,860 [740-1000]
Republic of Korea,2018,Number of incident tuberculosis cases,34000 [31000-36000]
Republic of Moldova,2018,Number of incident tuberculosis cases,3500 [3000-4000]
The former Yugoslav Republic of Macedonia,2018,Number of incident tuberculosis cases,270 [210-340]
Romania,2018,Number of incident tuberculosis cases,13000 [11000-15000]
Russian Federation,2018,Number of incident tuberculosis cases,79000 [51000-112000]
Rwanda,2018,Number of incident tuberculosis cases,7300 [5600-9200]
Saint Kitts and Nevis,2018,Number of incident tuberculosis cases,0 [0-0]
Saint Lucia,2018,Number of incident tuberculosis cases,6 [5-7]
Saint Vincent and the Grenadines,2018,Number of incident tuberculosis cases,7 [6-8]
Samoa,2018,Number of incident tuberculosis cases,13 [11-15]
San Marino,2018,Number of incident tuberculosis cases,0 [0-0]
Sao Tome and Principe,2018,Number of incident tuberculosis cases,260 [100-490]
Saudi Arabia,2018,Number of incident tuberculosis cases,3400 [2900-3900]
Senegal,2018,Number of incident tuberculosis cases,19000 [13000-25000]
Serbia,2018,Number of incident tuberculosis cases,1500 [1300-1800]
Seychelles,2018,Number of incident tuberculosis cases,17 [15-20]
Sierra Leone,2018,Number of incident tuberculosis cases,23000 [15000-33000]
Singapore,2018,Number of incident tuberculosis cases,2700 [2300-3100]
Slovakia,2018,Number of incident tuberculosis cases,310 [270-360]
Slovenia,2018,Number of incident tuberculosis cases,110 [95-130]
Solomon Islands,2018,Number of incident tuberculosis cases,480 [370-610]
Somalia,2018,Number of incident tuberculosis cases,39000 [25000-56000]
South Africa,2018,Number of incident tuberculosis cases,301000 [215000-400000]
South Sudan,2018,Number of incident tuberculosis cases,16000 [10000-23000]
Spain,2018,Number of incident tuberculosis cases,4400 [3800-5100]
Sri Lanka,2018,Number of incident tuberculosis cases,14000 [10000-18000]
Sudan,2018,Number of incident tuberculosis cases,30000 [21000-41000]
Suriname,2018,Number of incident tuberculosis cases,220 [170-280]
