Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Afghanistan,AFG,..,..,11.264133238155,-2.68108084876349,8.97487956759646,1.97416862890181,-0.665270517698119,-1.6228866716696,-0.541697283221524,0.0820789288754185,-1.35017833585495,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Albania,ALB,-11.1879052985212,7.63386640301194,4.2230368755483,2.82155873717815,1.58515488775825,1.1872054685296,1.98542608911822,2.51685221249549,3.48011700478818,3.91661197075454,4.40251487024605,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Algeria,DZA,-1.75407287637022,2.39950644017739,1.74677646320451,0.980204694064881,1.40179670455345,0.761674962215693,1.71044951625483,1.60047829963847,1.10456792075573,-0.750499557879849,-0.615183264336011,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,American Samoa,ASM,..,..,1.52429560889686,0.869269598167648,-4.23437728864654,-2.83679849163521,0.803753378222467,1.36590155070407,-2.64538324917581,-5.64961891041834,2.47043521275813,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Andorra,AND,-0.14261468196311,1.91345185341861,-5.3431361112859,-3.84725320509853,-0.0396675503243245,2.4052918336043,4.2932041332308,2.39598860802923,2.83028426104667,2.11506015294789,1.6227466770119,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Angola,AGO,-6.65753217768963,-0.26794453749595,1.0791689367887,-0.220846531029494,4.70645928027089,1.29208564355177,1.21983278506757,-2.46871516936926,-5.81623671756851,-3.40990331461406,-5.28777959390334,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Antigua and Barbuda,ATG,2.15497355156189,4.80818736357038,-8.92040249912563,-3.30423349856939,2.05110582991782,-1.80323259487324,2.62278049551703,2.71120684663117,4.42525495026875,2.1738184581005,6.4300264671072,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Argentina,ARG,-3.87410316538033,-1.87491241541325,9.30012832232192,4.78868313859434,-2.14528444981811,1.26568517537076,-3.57858050983292,1.62966427946265,-3.11006389821465,1.60928234377617,-3.46737624314432,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Armenia,ARM,..,6.57036387036523,2.58264808068078,4.72842677431717,6.91414364480887,2.82388903997261,3.07285853012422,2.73612872403588,-0.16150062037417,7.18375792957016,4.95169918007964,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Aruba,ABW,2.09291010616282,5.42760906762929,-3.8877600461179,3.06388237087862,-1.86416771739363,3.59319794754416,0.25056693031469,-0.991547779040417,-0.716487134265762,0.855431101992977,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Australia,AUS,2.04908201949108,2.70128931837841,0.492100955776877,1.04888379967608,2.1196825044921,0.834341933212656,1.01511499278639,0.732399751351792,1.17791143324995,0.657653883814675,1.3318775475184,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Austria,AUT,3.55354779021329,3.12743665014771,1.59257712849987,2.57644831811446,0.222450576943075,-0.562298942527448,-0.122370667337563,-0.111540189504495,0.98463828322204,1.76708743764632,1.84705120008107,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Azerbaijan,AZE,..,10.1910296245971,3.54945565734806,-2.84718295295991,0.85388605157209,4.48247007657503,1.52213919218541,-0.145834453695798,-4.14176979774351,-1.2557206009697,0.512193852983529,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Bahamas, The",BHS,-3.3206565034786,2.75534958824444,0.0117279344703718,-0.684017477592718,1.95077548458195,-3.8993995372296,-0.205232091040671,-0.362951163814515,-0.543773105647915,-0.93724983086706,0.544150188792798,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bahrain,BHR,1.31200257216312,0.852697131889045,-0.353779259512081,-0.991929406389531,1.98932964671978,4.20749360537125,2.70655678472522,0.180519551236884,-0.441055395486401,-0.940563981443205,-3.11062510562859,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bangladesh,BGD,3.08698402350078,3.25749967913609,4.3909803668064,5.25309562973739,5.29824495849087,4.79440164181352,4.85610832403805,5.36878342333158,5.95091457759985,6.14210394847194,6.73701752220683,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Barbados,BRB,-3.67037140701947,4.0378869704827,-2.52650670538756,-1.09478550684366,-0.317909721480362,-1.57617530320981,-0.354732941362968,2.02613967083379,2.11009654557748,-0.325475119390731,-0.640057735871636,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belarus,BLR,..,6.29963644799008,7.98206918275517,5.57238583709254,1.78036177565718,0.987444297302417,1.63497132996299,-3.98264886374076,-2.6487098312428,2.56748260752468,3.18981305431069,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belgium,BEL,2.83026812085834,3.46545030511354,1.9287568820322,0.380018329951753,0.11641512246463,-0.0131624623842725,1.12858585492231,1.44327342388083,0.998454175156894,1.57215372315021,1.0417195307113,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belize,BLZ,9.01727033947066,9.21425209815376,0.879869659196203,-0.242059956602787,0.573592984675031,-1.39868416441409,1.4472478992847,1.26348827778328,-2.60297812152156,-0.551942156420353,1.07136952894078,..
