Location,Period,Indicator,First Tooltip
Lesotho,2017,Number of incident tuberculosis cases,14000 [9000-20000]
Liberia,2017,Number of incident tuberculosis cases,14000 [9400-21000]
Libya,2017,Number of incident tuberculosis cases,2600 [1700-3800]
Lithuania,2017,Number of incident tuberculosis cases,1500 [1200-1700]
Luxembourg,2017,Number of incident tuberculosis cases,37 [31-43]
Madagascar,2017,Number of incident tuberculosis cases,60000 [39000-85000]
Malawi,2017,Number of incident tuberculosis cases,33000 [20000-48000]
Malaysia,2017,Number of incident tuberculosis cases,29000 [25000-34000]
Maldives,2017,Number of incident tuberculosis cases,170 [130-220]
Mali,2017,Number of incident tuberculosis cases,10000 [6600-14000]
Malta,2017,Number of incident tuberculosis cases,48 [41-56]
Marshall Islands,2017,Number of incident tuberculosis cases,250 [200-320]
Mauritania,2017,Number of incident tuberculosis cases,4200 [2700-6000]
Mauritius,2017,Number of incident tuberculosis cases,150 [110-190]
Mexico,2017,Number of incident tuberculosis cases,28000 [22000-36000]
Micronesia (Federated States of),2017,Number of incident tuberculosis cases,170 [130-220]
Monaco,2017,Number of incident tuberculosis cases,0 [0-0]
Mongolia,2017,Number of incident tuberculosis cases,13000 [6900-22000]
Montenegro,2017,Number of incident tuberculosis cases,86 [74-100]
Morocco,2017,Number of incident tuberculosis cases,36000 [30000-41000]
Mozambique,2017,Number of incident tuberculosis cases,158000 [102000-225000]
Myanmar,2017,Number of incident tuberculosis cases,189000 [123000-270000]
Namibia,2017,Number of incident tuberculosis cases,14000 [9700-18000]
Nauru,2017,Number of incident tuberculosis cases,10 [9-12]
Nepal,2017,Number of incident tuberculosis cases,42000 [37000-47000]
Netherlands,2017,Number of incident tuberculosis cases,890 [760-1000]
New Zealand,2017,Number of incident tuberculosis cases,350 [300-400]
Nicaragua,2017,Number of incident tuberculosis cases,2800 [2200-3600]
Niger,2017,Number of incident tuberculosis cases,19000 [13000-28000]
Nigeria,2017,Number of incident tuberculosis cases,418000 [273000-594000]
Niue,2017,Number of incident tuberculosis cases,0 [0-0]
Norway,2017,Number of incident tuberculosis cases,270 [230-310]
Oman,2017,Number of incident tuberculosis cases,310 [270-360]
Pakistan,2017,Number of incident tuberculosis cases,554000 [393000-743000]
Palau,2017,Number of incident tuberculosis cases,23 [20-27]
Panama,2017,Number of incident tuberculosis cases,2300 [1800-3000]
Papua New Guinea,2017,Number of incident tuberculosis cases,36000 [30000-44000]
Paraguay,2017,Number of incident tuberculosis cases,3000 [2500-3400]
Peru,2017,Number of incident tuberculosis cases,37000 [29000-47000]
Philippines,2017,Number of incident tuberculosis cases,583000 [327000-911000]
Poland,2017,Number of incident tuberculosis cases,6400 [5400-7400]
Portugal,2017,Number of incident tuberculosis cases,2000 [1700-2300]
Qatar,2017,Number of incident tuberculosis cases,690 [590-800]
Republic of Korea,2017,Number of incident tuberculosis cases,36000 [33000-38000]
Republic of Moldova,2017,Number of incident tuberculosis cases,3900 [3300-4500]
The former Yugoslav Republic of Macedonia,2017,Number of incident tuberculosis cases,270 [210-340]
Romania,2017,Number of incident tuberculosis cases,14000 [12000-16000]
Russian Federation,2017,Number of incident tuberculosis cases,85000 [55000-122000]
Rwanda,2017,Number of incident tuberculosis cases,7000 [5400-8800]
Saint Kitts and Nevis,2017,Number of incident tuberculosis cases,1 [1-1]
Saint Lucia,2017,Number of incident tuberculosis cases,13 [11-15]
Saint Vincent and the Grenadines,2017,Number of incident tuberculosis cases,2 [2-3]
Samoa,2017,Number of incident tuberculosis cases,35 [30-40]
San Marino,2017,Number of incident tuberculosis cases,0 [0-0]
Sao Tome and Principe,2017,Number of incident tuberculosis cases,240 [96-450]
Saudi Arabia,2017,Number of incident tuberculosis cases,3300 [2800-3800]
Senegal,2017,Number of incident tuberculosis cases,18000 [13000-25000]
Serbia,2017,Number of incident tuberculosis cases,1700 [1400-1900]
Seychelles,2017,Number of incident tuberculosis cases,18 [16-21]
Sierra Leone,2017,Number of incident tuberculosis cases,23000 [14000-32000]
Singapore,2017,Number of incident tuberculosis cases,2700 [2300-3100]
Slovakia,2017,Number of incident tuberculosis cases,260 [220-300]
Slovenia,2017,Number of incident tuberculosis cases,130 [110-150]
Solomon Islands,2017,Number of incident tuberculosis cases,470 [360-590]
Somalia,2017,Number of incident tuberculosis cases,39000 [25000-55000]
South Africa,2017,Number of incident tuberculosis cases,323000 [232000-430000]
South Sudan,2017,Number of incident tuberculosis cases,16000 [10000-23000]
Spain,2017,Number of incident tuberculosis cases,5000 [4300-5800]
Sri Lanka,2017,Number of incident tuberculosis cases,14000 [10000-18000]
Sudan,2017,Number of incident tuberculosis cases,31000 [21000-43000]
Suriname,2017,Number of incident tuberculosis cases,160 [120-200]
Sweden,2017,Number of incident tuberculosis cases,560 [480-650]
Switzerland,2017,Number of incident tuberculosis cases,610 [520-700]
Syrian Arab Republic,2017,Number of incident tuberculosis cases,3400 [2600-4300]
Tajikistan,2017,Number of incident tuberculosis cases,7500 [5800-9500]
Thailand,2017,Number of incident tuberculosis cases,108000 [82000-138000]
Timor-Leste,2017,Number of incident tuberculosis cases,6200 [4000-8800]
Togo,2017,Number of incident tuberculosis cases,3100 [2500-3800]
Tonga,2017,Number of incident tuberculosis cases,13 [11-15]
Trinidad and Tobago,2017,Number of incident tuberculosis cases,230 [200-270]
Tunisia,2017,Number of incident tuberculosis cases,3900 [3000-4900]
Turkey,2017,Number of incident tuberculosis cases,14000 [12000-16000]
Turkmenistan,2017,Number of incident tuberculosis cases,2500 [1900-3100]
Tuvalu,2017,Number of incident tuberculosis cases,26 [23-31]
Uganda,2017,Number of incident tuberculosis cases,83000 [49000-126000]
Ukraine,2017,Number of incident tuberculosis cases,37000 [24000-53000]
United Arab Emirates,2017,Number of incident tuberculosis cases,76 [65-88]
United Kingdom of Great Britain and Northern Ireland,2017,Number of incident tuberculosis cases,5900 [5300-6500]
United Republic of Tanzania,2017,Number of incident tuberculosis cases,147000 [69000-254000]
United States of America,2017,Number of incident tuberculosis cases,10000 [8500-12000]
Uruguay,2017,Number of incident tuberculosis cases,1100 [920-1200]
Uzbekistan,2017,Number of incident tuberculosis cases,23000 [16000-32000]
Vanuatu,2017,Number of incident tuberculosis cases,150 [110-190]
Venezuela (Bolivarian Republic of),2017,Number of incident tuberculosis cases,13000 [10000-17000]
Viet Nam,2017,Number of incident tuberculosis cases,178000 [113000-257000]
Yemen,2017,Number of incident tuberculosis cases,13000 [12000-15000]
Zambia,2017,Number of incident tuberculosis cases,61000 [39000-87000]
Zimbabwe,2017,Number of incident tuberculosis cases,31000 [23000-41000]
