Country Name,"2015 Population, total","2016 Population, total","2017 Population, total","2018 Population, total"
Lithuania,2904910,2868231,2828403,2801543
Low & middle income,6149221337,6227752871,6306560891,6383958209
Low income,653405207,670117389,687449530,705417321
Lower middle income,2898058449,2939830821,2981420591,3022905169
Luxembourg,569604,582014,596336,607950
"Macao SAR, China",602085,612836,622585,631636
Madagascar,24234088,24894380,25570540,26262368
Malawi,16745303,17205289,17670260,18143315
Malaysia,30270962,30684804,31105028,31528585
Maldives,454915,475513,496402,515696
Mali,17438778,17965429,18512394,19077690
Malta,445053,455356,467999,484630
Marshall Islands,57439,57735,58058,58413
Mauritania,4046301,4163534,4282574,4403319
Mauritius,1262605,1263473,1264613,1265303
Mexico,121858258,123333376,124777324,126190788
"Micronesia, Fed. Sts.",108895,110215,111459,112640
Middle East & North Africa,425821770,433597626,441255234,448912859
Middle East & North Africa (excluding high income),363975550,370276461,376546755,382896715
Middle East & North Africa (IDA & IBRD countries),359705458,365909373,372091950,378327628
Middle income,5495816130,5557635482,5619111361,5678540888
Moldova,2834530,2802170,2755158,2706049
Monaco,37718,38070,38392,38682
Mongolia,2998439,3056359,3113779,3170208
Montenegro,622159,622303,622373,622227
Morocco,34663603,35126296,35581294,36029138
Mozambique,27042002,27829942,28649007,29495962
Myanmar,52680726,53045226,53382581,53708395
Namibia,2314904,2358041,2402603,2448255
Nauru,12475,13049,12876,12704
Nepal,27015031,27261131,27627124,28087871
Netherlands,16939923,17030314,17131296,17231624
New Caledonia,272400,276550,280350,284060
New Zealand,4595700,4693200,4793900,4841000
Nicaragua,6223240,6303974,6384855,6465513
Niger,20001663,20788838,21602472,22442948
Nigeria,181137448,185960289,190873311,195874740
North America,356510820,359245384,361751263,364290258
North Macedonia,2079328,2080745,2081996,2082958
Northern Mariana Islands,55780,56188,56562,56882
Norway,5188607,5234519,5276968,5311916
OECD members,1280466626,1288747101,1296225760,1303529456
Oman,4267348,4479219,4665935,4829483
Other small states,28948869,29542879,30148800,30758989
Pacific island small states,2355672,2388307,2422086,2457367
Pakistan,199426964,203627284,207896686,212215030
Palau,17665,17725,17808,17907
Panama,3968487,4037078,4106771,4176873
Papua New Guinea,8107775,8271760,8438029,8606316
Paraguay,6688746,6777872,6867062,6956071
Peru,30470734,30926032,31444297,31989256
Philippines,102113212,103663927,105173264,106651922
Poland,37986412,37970087,37974826,37974750
Portugal,10358076,10325452,10300300,10283822
Post-demographic dividend,1097025299,1101992071,1106035186,1109997273
Pre-demographic dividend,845759344,869943914,894512725,919485393
Puerto Rico,3473166,3406495,3325001,3195153
Qatar,2565710,2654374,2724724,2781677
Romania,19815616,19702468,19587491,19466145
Russian Federation,144096870,144342396,144496740,144478050
Rwanda,11369071,11668818,11980937,12301939
Samoa,193513,194535,195352,196130
San Marino,33272,33504,33671,33785
Sao Tome and Principe,199432,203227,207089,211028
Saudi Arabia,31717667,32442572,33099147,33699947
Senegal,14578459,14993528,15419381,15854360
Serbia,7095383,7058322,7020858,6982604
Seychelles,93419,94677,95843,96762
Sierra Leone,7171914,7328838,7488431,7650154
Singapore,5535002,5607283,5612253,5638676
Sint Maarten (Dutch part),38825,39969,40574,40654
Slovak Republic,5423801,5430798,5439232,5446771
Slovenia,2063531,2065042,2066388,2073894
Small states,38526753,39200572,39885876,40575321
Solomon Islands,603118,619437,636038,652858
Somalia,13797201,14185613,14589119,15008154
South Africa,55386367,56203654,57000451,57779622
South Asia,1749417068,1771167194,1792835608,1814388744
South Asia (IDA & IBRD),1749417068,1771167194,1792835608,1814388744
South Sudan,10715658,10832512,10910759,10975920
Spain,46444832,46484062,46593236,46796540
Sri Lanka,20970000,21203000,21444000,21670000
St. Kitts and Nevis,51203,51625,52045,52441
St. Lucia,179126,180024,180955,181889
St. Martin (French part),35858,36065,36560,37264
St. Vincent and the Grenadines,109148,109459,109827,110210
Sub-Saharan Africa,995458478,1022526541,1050153672,1078306520
Sub-Saharan Africa (excluding high income),995365059,1022431864,1050057829,1078209758
