Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Brazil,BRA,9997591007.59699,33015297295.6899,288574623536.622,352010222755.829,373160977539.732,358816422466.118,363570226084.661,356464980327.488,364984039092.456,373955518686.487,374709673447.828,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Brunei Darussalam,BRN,..,408340574.417856,1563162507.49248,2583674787.86635,3449167916.72605,3575273901.90557,3648818757.27273,3366322585.18654,3487053368.54429,3488124299.73021,3407126454.77295,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Bulgaria,BGR,..,3507198891.18447,17223204558.801,17215731650.4487,20507099695.0265,19883353048.1463,20129698078.3467,22153050488.9051,25176065815.9197,28375830876.2926,28711039864.6649,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Burundi,BDI,111668438.445462,37646865.1651183,332085022.471923,295447213.888204,308757013.647554,329308184.126304,317139256.456431,136134382.176262,95158477.5306259,97402580.425552,68126200.7714545,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cabo Verde,CPV,76969365.0466756,28196818.8690417,382190200.497035,338617823.352149,375841714.655623,475334069.480303,510930777.488313,494495560.716106,572736752.547996,617362329.826463,606430600.295088,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cambodia,KHM,..,611415267.593156,3817077827.48335,4061785157.08441,4932648793.0807,4997865462.65344,6108206110.74858,7306761263.12661,8851524981.10859,11780356004.4478,13885663251.0401,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cameroon,CMR,37075058.9640231,220219413.043293,3642642765.84442,3198717752.7485,3380703262.12093,3471999831.39101,3168216856.18041,3536255065.98645,2225708778.07818,3196791410.74604,3459329760.96426,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Canada,CAN,23529517647.2095,32427268296.4522,57151157771.2186,65818985667.1989,68546343361.9693,71937085415.7952,74699962252.5789,79753521149.8993,82718110857.6299,86677706696.7064,83925602808.0082,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,162073506,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Central African Republic,CAF,122909404.284403,136311955.642757,181175454.945794,154510967.212474,157902473.531176,193663724.475369,259571697.529109,213800567.288047,239797985.500412,362717270.49893,361797180.317651,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Chad,TCD,132064062.902088,113752750.287429,632405291.277491,951097160.643999,1155659286.59738,1183031943.77765,1075906114.58729,368916823.816674,8184292.08845216,8575237.41520016,147750165.909777,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Chile,CHL,6783811633.49504,15055115211.0232,27827450636.1978,41943889984.8962,41649256237.5881,41093252538.759,40447379051.6687,38641176606.0315,40493293729.5297,38981539753.7984,39858824174.8114,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,China,CHN,34475661158.6121,171763098225.843,2913711711315.37,3254674063563.49,3387512973773.81,3880368265252.93,3900039302991.09,3405253363888.14,3097658421378.4,3235681607213.04,3168216331199.09,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Colombia,COL,4868520136.43283,9005870484.66315,28076156124.4625,31895547050.8778,36997795799.9643,43158795571.8365,46809443348.4249,46222893468.525,46173772892.6654,47131104746.7563,47887623364.3511,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Comoros,COM,29914188.6473735,43370718.713776,146075888.489772,156064553.741795,195019557.081483,174071467.956823,171159502.43982,200562427.653927,159412124.098012,207879895.509358,199213183.261238,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Congo, Dem. Rep.",COD,260650000,82500000,1299652041.01224,1267500302.99162,1632551644.22764,1678465311.80225,1556982977.84139,1215934551.45168,708160749.155332,695398161.997957,665272094.992908,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Congo, Rep.",COG,10192493.1610329,225059391.973169,4446850565.67434,5641136195.74763,5549563315.43625,5245011451.13999,4926098059.12833,2221497219.19564,714352000.79598,379984138.830498,423617388.256644,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Costa Rica,CRI,524889929.252678,1318296304.08344,4627252201.99218,4755830027.91209,6856696345.8603,7330880578.95384,7211431939.58833,7833931554.67419,7573806767.99203,7149834513.74318,7500924411.18614,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Croatia,HRV,..,3524350092.11558,14132506400.1205,14483805261.8585,14807134321.34,17766773440.2298,15423620715.6123,14966894623.4156,14244345198.2049,18818215998.8714,19991304927.8836,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cyprus,CYP,1683639390.03571,1868515473.45376,1141718898.06676,1187122352.5629,1191085645.63035,916261841.409657,893890213.595586,807868870.831618,812488586.049062,887692448.704109,924201541.467494,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Czech Republic,CZE,..,13141569747.934,42482660898.3128,40283016690.7132,44884691026.5825,56217652210.6233,54495067818.3817,64490290734.1553,85725304288.2449,147976372277.252,142511752519.564,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Denmark,DNK,11225840672.0633,15695951232.7906,76510022325.9157,84955222078.4165,89697829678.4592,88676584007.3309,75391887669.079,65185093406.2789,64215805619.9462,75244445865.8039,70942078373.7473,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Djibouti,DJI,93639294.2803231,67804571.8253999,248997896.289132,244112095.169796,248630000.267239,424961509.881339,393148391.657684,364857284.064063,407414266.733581,556097628.852465,454193909.718601,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Dominica,DMA,14462984.5926221,29372786.7374406,76099741.2908616,81120934.2699267,94562315.3820093,87050886.0260666,101447737.686139,126225919.300594,221907763.515912,212292574.606832,191323608.30539,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Dominican Republic,DOM,68530000,632133042.125822,3874458746.77531,4114429337.35283,3558641726.41412,4700626508.01792,4861785571.88809,5266043354.25313,6134227406.75062,6872905749.30285,7717561574.1843,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Ecuador,ECU,1009075807.30826,1178958455.54319,2622493356.38252,2957999383.64451,2486036143.68357,4345840333.46757,3941357097.57337,2487276599.56405,4215553160.05677,2169697856.6482,2158694032.4143,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Egypt, Arab Rep.",EGY,3619931742.61285,13785040867.624,37028506134.5559,18637541110.4777,15672467970.7728,16536236826.4074,14926998051.7397,15858887325.7756,23642691705.9678,36400242555.8255,41839242990.7097,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,El Salvador,SLV,595456226.572392,1901335075.18711,2881775238.84522,2493022511.76904,3176161719.68549,2744899175.7377,2693299223.48455,2786587496.10091,3238334348.81609,3567268275.79971,3568810597.97393,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Equatorial Guinea,GNQ,706734.793331144,23008388.6354031,2346355216.01319,3053840571.59284,4396979377.35143,4566537481.10375,2906843390.77255,1205154515.65311,62307444.1358487,45502925.1067975,48929813.6121629,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Eritrea,ERI,..,36131624.5351442,114149602.728927,114795744.08312,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Estonia,EST,..,922839655.58726,2567138087.1289,207115695.548506,300659803.183269,314406126.749955,436832954.504529,414798362.438981,352140743.414626,345036507.941262,755005588.304243,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Eswatini,SWZ,216466813.105518,351794140.719257,756344144.775586,600507428.767504,740960093.303333,762540937.776334,690755431.118014,547997264.064542,564314115.627588,563119751.253451,440685903.013845,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Ethiopia,ETH,55191078.3030544,362554236.557217,2241164555.88825,2837310958.4935,2301655547.62419,2363513607.3673,3525244981.05226,3835287576.46954,3030943950.63996,3045571314.79781,3987464165.90059,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Fiji,FJI,261102710.844916,412013921.196278,720523356.765859,833453464.169776,921305920.574248,941826993.425575,916407090.608289,918959350.368621,908823039.760341,1116363704.4475,947653331.857671,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Finland,FIN,10414929121.4892,8409731733.14767,9547427724.74528,10276057418.071,11082344912.0095,11272356806.1603,10679250780.1178,10016275637.3125,10465361380.0017,10506846391.9314,10309164187.4717,..
